life_expectancy,infant_deaths,hiv_aids,gdp_capita,schooling,percentage_expenditure,alcohol
65,62,0.1,584.25921,10.1,71.27962362,Negligible
59.9,64,0.1,612.696514,10,73.52358168,Negligible
59.9,66,0.1,631.744976,9.9,73.21924272,Negligible
59.5,69,0.1,669.959,9.8,78.1842153,Negligible
59.2,71,0.1,63.537231,9.5,7.097108703,Negligible
58.8,74,0.1,553.32894,9.2,79.67936736,Negligible
58.6,77,0.1,445.8932979,8.9,56.76221682,Negligible
58.1,80,0.1,373.3611163,8.7,25.87392536,Negligible
57.5,82,0.1,369.835796,8.4,10.91015598,Negligible
57.3,84,0.1,272.56377,8.1,17.17151751,Negligible
57.3,85,0.1,25.2941299,7.9,1.388647732,Negligible
57,87,0.1,219.1413528,6.8,15.29606643,Negligible
56.7,87,0.1,198.7285436,6.5,11.08905273,Negligible
56.2,88,0.1,187.84595,6.2,16.88735091,Negligible
55.3,88,0.1,117.49698,5.9,10.5747282,Negligible
54.8,88,0.1,114.56,5.5,10.42496,Negligible
77.8,0,0.1,3954.22783,14.2,364.9752287,Consumed
77.5,0,0.1,4575.763787,14.2,428.7490668,Consumed
77.2,0,0.1,4414.72314,14.2,430.8769785,Consumed
76.9,0,0.1,4247.61438,14.2,412.4433563,Consumed
76.6,0,0.1,4437.17868,13.3,437.0621,Consumed
76.2,1,0.1,494.358832,12.5,41.82275719,Consumed
76.1,1,0.1,4114.136545,12.2,348.0559517,Consumed
75.3,1,0.1,437.539647,12,36.62206845,Consumed
75.9,1,0.1,363.13685,11.6,32.24655228,Consumed
74.2,1,0.1,35.1293,11.4,3.3021542,Consumed
73.5,1,0.1,279.142931,10.8,26.99312143,Consumed
73,1,0.1,2416.588235,10.9,221.8428,Consumed
72.8,1,0.1,189.681557,10.7,14.71928882,Consumed
73.3,1,0.1,1453.642777,10.7,104.5169157,Consumed
73.6,1,0.1,1326.97339,10.6,96.20557078,Consumed
72.6,1,0.1,1175.788981,10.7,91.71154052,Consumed
75.4,21,0.1,547.8517,14.4,54.2373183,Negligible
75.3,21,0.1,5471.866766,14.4,544.4507432,Negligible
75.1,21,0.1,5564.82566,14.4,555.9260834,Negligible
74.9,21,0.1,5432.2523,14,509.0020405,Negligible
74.7,21,0.1,4463.394675,13.6,430.7175861,Negligible
74.4,20,0.1,3868.83123,13.1,352.0636419,Negligible
74.1,20,0.1,495.254866,12.6,43.08717334,Negligible
73.8,20,0.1,3935.183343,12.3,320.3239241,Negligible
73.4,20,0.1,3464.6179,12.3,270.2401962,Negligible
72.9,19,0.1,31.122378,12,2.548922758,Negligible
72.3,19,0.1,2598.9823,11.7,220.393699,Negligible
51.7,67,2,479.31224,11.4,23.965612,Consumed
51.1,69,2.3,484.616884,11.4,35.95857279,Consumed
56,72,2.6,4598.249988,10.3,256.1225243,Consumed
51,75,2.5,4299.12889,9.4,239.8913921,Consumed
49.6,78,2.5,3529.53482,9,191.6537407,Consumed
49.1,81,2.5,3347.84485,8.5,212.9229325,Consumed
48.7,84,2.6,3868.578883,8.1,249.9101958,Consumed
48.2,87,2.6,2878.837144,7.7,184.8213446,Consumed
76.2,8,0.1,12245.25645,17.3,847.3717463,Consumed
76,8,0.1,12976.63642,17.3,1001.796332,Consumed
75.9,9,0.1,12969.7712,17.2,1133.558003,Consumed
75.7,9,0.1,12726.9836,17.1,1504.329462,Consumed
75.5,10,0.1,1276.265,16.8,187.610955,Consumed
75.6,10,0.1,8161.36966,16.5,1398.042623,Consumed
75.4,10,0.1,8953.359275,16.3,1413.73543,Consumed
74.8,10,0.1,7193.61764,16.3,1105.659031,Consumed
75.2,11,0.1,5878.76127,16.1,961.1774676,Consumed
74.9,11,0.1,576.883829,16.3,96.16653429,Consumed
74.7,11,0.1,4251.574348,16.3,719.3663797,Consumed
74.1,11,0.1,333.4376,16.4,57.58467352,Consumed
74.1,12,0.1,2579.193168,16.3,470.1869145,Consumed
74.6,1,0.1,3994.712355,12.7,295.6087143,Consumed
74.4,1,0.1,3843.591213,12.7,279.4290812,Consumed
74.4,1,0.1,3684.8481,12.7,274.1526986,Consumed
73.9,1,0.1,3526.978143,12.7,260.9963826,Consumed
73.5,1,0.1,3218.381655,12.3,224.3212014,Consumed
73.3,1,0.1,2993.832531,11.9,201.1855461,Consumed
73.2,1,0.1,41.26997,12.3,2.8888979,Consumed
73.5,1,0.1,3138.8873,11.7,44.57219966,Consumed
72.9,1,0.1,2158.299,11.2,244.5352767,Consumed
73,1,0.1,1643.758397,10.9,20.21822828,Consumed
73,1,0.1,1191.96192,10.9,97.74087744,Consumed
72.7,1,0.1,93.1661567,10.8,7.341493148,Consumed
72.6,1,0.1,783.261699,10.8,57.17810403,Consumed
72.6,1,0.1,694.435119,11.1,53.19373012,Consumed
72,1,0.1,622.7427477,11.2,32.75626853,Consumed
72.5,5,0.1,7891.299776,12.2,306.1824313,Negligible
72.2,5,0.1,7875.756953,11.9,275.6514934,Consumed
71.9,5,0.1,7496.335728,11.8,285.6103912,Negligible
71.6,5,0.1,7189.691229,11.7,263.142699,Consumed
71.1,5,0.1,5842.85784,11.7,246.5686008,Consumed
78,6,0.1,495.294791,11.6,22.48638351,Consumed
73,6,0.1,5574.6382,11.6,206.2616134,Consumed
73,6,0.1,3851.437869,11.6,176.0107106,Negligible
69.2,6,0.1,2473.85776,10.7,105.6337264,Negligible
68.4,6,0.1,1578.4239,11.2,81.28883085,Negligible
68.4,6,0.1,145.2163,11,8.59680496,Negligible
67.8,7,0.1,883.6439965,10.8,42.41491183,Negligible
67.8,7,0.1,763.73858,10.6,39.33253687,Negligible
71.4,98,0.1,184.56543,10,10.44640334,Negligible
71,104,0.1,951.8894535,10,52.82986467,Negligible
77,111,0.1,856.342857,9.9,59.2589257,Negligible
73,118,0.1,835.789341,9.4,62.34988484,Negligible
69.9,126,0.1,757.6717572,8.9,62.65945432,Negligible
69.5,135,0.1,681.125368,8.4,53.26400378,Negligible
69.1,144,0.1,615.7775411,8.6,42.48865034,Negligible
68.6,154,0.1,541.651484,8.6,46.36536703,Negligible
68.2,164,0.1,494.51466,8.4,42.3304549,Negligible
67.8,174,0.1,484.155471,8.2,38.05462002,Negligible
67.3,185,0.1,46.7579167,8.1,4.11469667,Negligible
66.8,196,0.1,432.7388972,7.9,35.48458957,Negligible
72,0,0.1,8318.429294,15.7,1147.1114,Consumed
71.7,0,0.1,7978.825443,15.7,1109.854619,Consumed
71.9,0,0.1,694.243915,15.6,91.70962117,Consumed
72,0,0.1,6519.71753,15.5,846.9113071,Consumed
73,0,0.1,63.38877,15.5,8.49409518,Consumed
70,0,0.1,5176.172649,15.4,434.7985025,Consumed
70,1,0.1,6376.183153,15.1,501.8056141,Consumed
69.8,1,0.1,4735.484827,14.9,464.077513,Consumed
68.9,1,0.1,3848.215966,14.6,364.426052,Consumed
68.1,1,0.1,3126.71767,14.4,45.65007798,Consumed
68.2,1,0.1,2378.33927,14.1,42.33443901,Consumed
67.7,1,0.1,1819.525644,13.9,23.83578594,Consumed
67.2,1,0.1,1479.383142,13.6,145.4233629,Consumed
67.7,1,0.1,1244.373185,13.3,14.06141699,Consumed
68,1,0.1,1276.28834,13.1,24.24947846,Consumed
70,0,0.2,4852.223666,12.8,670.0920883,Consumed
69.8,0,0.2,4688.538443,12.9,629.2018591,Consumed
69.4,0,0.1,4673.63848,12.5,582.8027185,Consumed
69.4,0,0.5,4516.24675,12.4,605.6286892,Consumed
69.5,0,0.2,4344.15177,12.4,569.9527122,Consumed
69.5,0,0.3,4258.788611,12.7,549.8096097,Consumed
69.6,0,0.1,447.22796,12.8,51.25232422,Consumed
69.6,0,0.6,4324.876427,12.8,69.63051047,Consumed
69.4,0,0.6,4187.3783,12.3,387.3324928,Consumed
69,0,0.8,3933.332215,12.8,365.799896,Consumed
68.7,0,0.8,3831.53819,12.5,325.6807462,Consumed
68.4,0,1.5,3679.99523,12.2,312.7995946,Consumed
68.5,0,0.1,3556.561825,11.9,262.8299189,Consumed
68.2,0,0.4,3419.275719,11.8,251.6586929,Consumed
68.3,0,0.3,3364.423711,11.7,219.0239836,Consumed
59.7,25,1.1,943.686575,10.7,90.12206791,Negligible
59.5,25,1.2,915.2674586,10.3,87.4080423,Negligible
59.3,25,1.3,837.9551,10,9.80407467,Negligible
59.1,25,1.4,825.9427854,9.8,110.2633619,Consumed
58.7,25,1.4,757.695974,9.5,94.25737917,Consumed
58.4,25,1.6,793.45243,9.3,71.01399249,Consumed
57.6,25,1.8,82.1513498,9.1,7.615430126,Consumed
57.1,25,2,76.535419,8.9,7.49281752,Consumed
56.8,25,2,625.8392,8.7,75.91429496,Consumed
56.5,25,2.1,61.799977,8.5,7.106997355,Consumed
56.1,25,2.1,583.493514,8.1,10.73628066,Consumed
55.8,25,2.1,519.2922847,7.7,8.931827297,Consumed
55.6,25,2.1,418.6985763,7.3,40.48815233,Consumed
69.4,0,0.5,2522.7968,12.5,209.3921344,Negligible
69.1,0,0.6,235.882889,12.6,19.79057439,Negligible
68.7,0,0.6,2422.816,12.3,188.7373664,Negligible
68.3,0,0.5,2458.45976,11.9,289.8524057,Negligible
67.9,1,0.5,2178.921383,11.4,244.0391949,Negligible
67.4,1,0.4,177.234497,10.9,27.48907048,Negligible
67,1,0.4,1795.18137,10.5,302.667579,Negligible
66.5,1,0.3,1741.142552,10.1,283.806236,Negligible
65.8,1,0.3,1335.45696,9.6,169.2023968,Negligible
65,1,0.3,1247.61392,9.2,145.5965445,Negligible
64.2,1,0.3,197.45788,8.8,2.586698228,Negligible
63.3,1,0.2,997.7417141,8.4,19.15664091,Negligible
62.5,1,0.1,885.6382245,8,151.9755193,Negligible
61.7,1,0.1,87.9387673,7.6,8.574029812,Negligible
62,1,0.1,765.8632358,7.3,93.35872844,Negligible
77.2,0,0.1,5193.94932,14.2,732.8662491,Consumed
77,0,0.1,535.86555,14.2,75.61062911,Consumed
76.8,0,0.1,4716.673325,13.9,693.8226461,Consumed
76.9,0,0.1,55.156834,13.4,7.959131146,Consumed
76.4,0,0.1,4611.47298,13.3,630.3883564,Consumed
76.1,0,0.1,4697.89732,13.3,645.021302,Consumed
76,0,0.1,575.31664,13.1,66.04635027,Consumed
75.4,0,0.1,418.292176,12.9,8.240355867,Consumed
75.7,0,0.1,344.321698,12.7,38.25414065,Consumed
75,0,0.1,2968.41186,12.5,45.71354264,Consumed
75.5,0,0.1,265.642661,12.3,3.479918859,Consumed
65.1,2,2.3,7497.762376,12.6,662.802194,Negligible
64.2,2,2.8,77.625783,12.6,1.117811275,Negligible
63.4,2,4.4,729.231453,12.5,12.83447357,Negligible
62.2,2,5.5,7645.21469,12.4,668.9562854,Consumed
